source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775447055,2026-04-06T03:44:14.000Z,1,node_1,2026-04-06T03:41:14.000Z,2024332,34.99334,45.98666,0,13.77175,85.86731,0.917271,-0.067139,60,
node_data_0v3,node_1_1775447055,2026-04-06T03:44:14.000Z,2,node_1,2026-04-06T03:42:14.000Z,2084332,35.02333,45.055,0,13.76796,83.9213,0.918604,-0.061035,60,
node_data_0v3,node_1_1775447055,2026-04-06T03:44:14.000Z,3,node_1,2026-04-06T03:43:14.000Z,2144332,35.05833,45.28666,0,13.76198,84.29565,0.918979,-0.056966,60,
node_data_0v3,node_1_1775447055,2026-04-06T03:44:14.000Z,4,node_1,2026-04-06T03:44:14.000Z,2204332,35.11665,44.78167,0,13.75869,83.61613,0.918458,-0.068156,60,
node_data_0v3,node_1_1775447115,2026-04-06T03:45:14.000Z,0,node_1,2026-04-06T03:45:14.000Z,2264332,35.16165,44.88165,0,13.75154,87.45219,0.916604,-0.062052,60,
node_data_0v3,node_1_1775447405,2026-04-06T03:49:14.000Z,0,node_1,2026-04-06T03:46:14.000Z,2324332,35.19665,43.70168,0,13.7475,84.79513,0.916208,-0.059001,60,
node_data_0v3,node_1_1775447405,2026-04-06T03:49:14.000Z,1,node_1,2026-04-06T03:47:14.000Z,2384332,35.23334,44.74333,0,13.7439,83.3374,0.916917,-0.059001,60,
node_data_0v3,node_1_1775447405,2026-04-06T03:49:14.000Z,2,node_1,2026-04-06T03:48:14.000Z,2444332,35.30668,44.53666,0,13.73804,84.95992,0.916333,-0.065104,60,
node_data_0v3,node_1_1775447405,2026-04-06T03:49:14.000Z,3,node_1,2026-04-06T03:49:14.000Z,2504331,35.30169,43.48999,0,13.73392,83.31909,0.916521,-0.06307,60,
node_data_0v3,node_1_1775447655,2026-04-06T03:54:14.000Z,0,node_1,2026-04-06T03:50:14.000Z,2564332,35.32835,43.29666,0,13.72815,89.43888,0.915667,-0.056966,60,
