ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,historical?
2026-04-01T08:03:42.000Z,,34.36,38.99,0,14.56,89.29,21.7,98.2,60,true
2026-04-01T08:04:42.000Z,,34.35,39.21,0,14.56,82.89,21.71,94.9,60,true
2026-04-01T08:05:42.000Z,,34.32,40.02,0,14.56,83.79,21.68,96.03,60,true
2026-04-01T08:06:42.000Z,,34.33,39.85,0,14.56,86.76,21.68,97.38,60,true
2026-04-01T08:07:42.000Z,,34.31,40.33,0,14.55,87.64,21.66,98.56,60,true
2026-04-01T08:08:42.000Z,,34.3,40.4,0,14.56,88.5,21.66,98.76,60,true
2026-04-01T08:09:42.000Z,,34.25,39.88,0,14.55,87.67,21.64,99.12,60,true
2026-04-01T08:10:42.000Z,,34.23,40.58,0,14.56,83.31,21.65,95.54,60,true
2026-04-01T08:11:42.000Z,,34.18,41.24,0,14.55,88.76,21.61,99.67,60,true
2026-04-01T08:12:42.000Z,,34.2,41.23,0,14.55,86.96,21.6,96.23,60,true
2026-04-01T08:13:42.000Z,,34.2,41.04,0,14.08,90.87,19.36,335.9,60,true
2026-04-01T08:14:42.000Z,,34.17,41.27,0,14.06,85.24,18.97,375.75,60,true
2026-04-01T08:15:42.000Z,,34.18,42.17,0,14.12,85.91,19.04,367.18,60,true
2026-04-01T08:16:42.000Z,,34.21,41.37,0,14.19,86.37,19.12,358.24,60,true
2026-04-01T08:17:42.000Z,,34.21,39,0,14.43,82.17,20.19,244.03,60,true
2026-04-01T08:18:42.000Z,,34.18,39.41,0,14.56,87.62,21.54,98.87,60,true
2026-04-01T08:19:42.000Z,,34.14,40.35,0,14.56,85.35,21.52,96.8,60,true
2026-04-01T08:20:42.000Z,,34.12,41.26,0,14.56,88.01,21.47,98.78,60,true
2026-04-01T08:21:42.000Z,,34.13,41.12,0,14.56,87.02,21.46,97.18,60,true
2026-04-01T08:22:42.000Z,,34.08,40.63,0,14.56,81.77,21.46,94.76,60,true
2026-04-01T08:23:42.000Z,,34.07,41.05,0,14.56,82.23,21.43,94.92,60,true
2026-04-01T08:24:42.000Z,,34.02,41.48,0,14.56,84.11,21.39,96.42,60,true
2026-04-01T08:25:42.000Z,,34.02,42.07,0,14.56,86.24,21.35,96.81,60,true
2026-04-01T08:26:42.000Z,,34,41.8,0,14.56,83.08,21.36,95.59,60,true
2026-04-01T08:27:42.000Z,,34,41.66,0,14.56,83.47,21.35,95.13,60,true
2026-04-01T08:28:42.000Z,,33.96,41.17,0,14.57,81.58,21.33,94.79,60,true
2026-04-01T08:29:42.000Z,,33.95,41.08,0,14.56,81.84,21.3,96.05,60,true
2026-04-01T08:30:42.000Z,,33.9,41.61,0,14.56,82.81,21.26,96.67,60,true
2026-04-01T08:31:42.000Z,,33.87,41.38,0,14.54,86.22,21.23,97.66,60,true
2026-04-01T08:32:42.000Z,,33.8,39.95,0,14.56,82.9,21.16,95.43,60,true
2026-04-01T08:33:42.000Z,,33.75,41.04,0,14.52,85,20.82,97.69,60,true
2026-04-01T08:34:42.000Z,,33.7,41.92,0,14.32,88.45,19.62,127.08,60,true
2026-04-01T08:35:42.000Z,,33.68,41.69,0,14.1,82.79,18.76,140.07,60,true
2026-04-01T08:36:42.000Z,,33.59,41.78,0,14.11,86.77,18.79,153.35,60,true
2026-04-01T08:37:42.000Z,,33.5,42.34,0,14.13,87.93,18.88,202.47,60,true
2026-04-01T08:38:42.000Z,,33.41,42.46,0,14.17,85.46,18.96,228.35,60,true
2026-04-01T08:39:42.000Z,,33.36,43.05,0,14.2,85.82,18.98,211.32,60,true
2026-04-01T08:40:42.000Z,,33.32,42.14,0,14.22,87.88,18.95,165.69,60,true
2026-04-01T08:41:42.000Z,,33.24,42.16,0,14.22,83,18.88,121.47,60,true
2026-04-01T08:42:42.000Z,,33.19,42.36,0,14.19,91.5,18.8,87,60,true
2026-04-01T08:43:42.000Z,,33.12,42.58,0,14.17,83.01,18.75,70.5,60,true
2026-04-01T08:44:42.000Z,,33.07,42.72,0,14.15,85.51,18.72,69.1,60,true
2026-04-01T08:45:42.000Z,,33.01,41.83,0,14.13,86.87,18.69,68.33,60,true
2026-04-01T08:46:42.000Z,,32.97,42.45,0,14.12,86.26,18.67,68.23,60,true
2026-04-01T08:47:42.000Z,,32.95,42.19,0,14.1,92.98,18.66,69.63,60,true
2026-04-01T08:48:42.000Z,,32.9,42.91,0,14.1,83.29,18.65,70.71,60,true
2026-04-01T08:49:42.000Z,,32.9,42.38,0,14.09,84.59,18.66,82.24,60,true
2026-04-01T08:50:42.000Z,,32.84,42.68,0,14.09,87.3,18.7,109.17,60,true
2026-04-01T08:51:42.000Z,,32.82,43.31,0,14.09,87.17,18.71,112.69,60,true
2026-04-01T08:52:42.000Z,,32.82,43.65,0,14.09,86.88,18.64,75.14,60,true
2026-04-01T08:53:42.000Z,,32.77,43.56,0,14.07,86.23,18.61,67.64,60,true
2026-04-01T08:54:42.000Z,,32.76,43.79,0,14.07,84.45,18.62,78.42,60,true
2026-04-01T08:55:42.000Z,,32.77,44.09,0,14.06,91.01,18.64,92.59,60,true
2026-04-01T08:56:42.000Z,,32.75,44.15,0,14.07,85.06,18.68,117,60,true
2026-04-01T08:57:42.000Z,,32.72,44.36,0,14.07,91.24,18.72,137.75,60,true
2026-04-01T08:58:42.000Z,,32.68,44.38,0,14.08,87.46,18.7,120.17,60,true
2026-04-01T08:59:42.000Z,,32.64,44.8,0,14.07,89.34,18.62,77.66,60,true
2026-04-01T09:00:42.000Z,,32.61,45.31,0,14.05,86.99,18.56,54.99,60,true
2026-04-01T09:01:42.000Z,,32.56,45.48,0,14.04,83.97,18.55,56.82,60,true
2026-04-01T09:02:42.000Z,,32.53,45.9,0,14.03,90.26,18.54,60,60,true
2026-04-01T09:03:42.000Z,,32.52,46.13,0,14.02,86.86,18.53,58.51,60,true
2026-04-01T09:04:42.000Z,,32.51,46.33,0,14.01,89.49,18.53,65.69,60,true
2026-04-01T09:05:42.000Z,,32.49,46.17,0,14.01,89.18,18.53,69.45,60,true
2026-04-01T09:06:42.000Z,,32.47,46.09,0,14,84.43,18.52,69.37,60,true
2026-04-01T09:07:42.000Z,,32.47,46.49,0,14,84.67,18.52,70.86,60,true
2026-04-01T09:08:42.000Z,,32.45,46.64,0,13.99,86.29,18.53,83.91,60,true
2026-04-01T09:09:42.000Z,,32.48,47.06,0,13.99,87.43,18.53,80.72,60,true
2026-04-01T09:10:42.000Z,,32.45,47.31,0,13.98,86.33,18.49,67.31,60,true
2026-04-01T09:11:42.000Z,,32.41,47.14,0,13.97,94.53,18.47,59.18,60,true
2026-04-01T09:12:42.000Z,,32.36,47.56,0,13.97,85.19,18.45,55.98,60,true
2026-04-01T09:13:42.000Z,,32.33,47.16,0,13.96,83.74,18.46,58.48,60,true
2026-04-01T09:14:42.000Z,,32.3,47.68,0,13.95,87.84,18.44,52.27,60,true
2026-04-01T09:15:42.000Z,,32.26,47.52,0,13.95,87.62,18.42,47.23,60,true
2026-04-01T09:16:42.000Z,,32.24,47.81,0,13.94,84.49,18.41,47.45,60,true
2026-04-01T09:17:42.000Z,,32.19,48.2,0,13.93,85.52,18.4,46.31,60,true
2026-04-01T09:18:42.000Z,,32.16,48.27,0,13.92,84.76,18.38,40.79,60,true
2026-04-01T09:19:42.000Z,,32.13,48.33,0,13.91,86.35,18.36,34.73,60,true
2026-04-01T09:20:42.000Z,,32.08,48.22,0,13.9,86.84,18.34,30.83,60,true
2026-04-01T09:21:42.000Z,,32.07,48.12,0,13.89,89.31,18.31,28.91,60,true
2026-04-01T09:22:42.000Z,,32,47.68,0,13.89,85.86,18.29,27.13,60,true
2026-04-01T09:23:42.000Z,,31.95,47.59,0,13.88,91.76,18.28,25.21,60,true
2026-04-01T09:24:42.000Z,,31.93,47.95,0,13.87,91.09,18.26,22.94,60,true
2026-04-01T09:25:42.000Z,,31.9,47.79,0,13.86,85.69,18.25,21.25,60,true
2026-04-01T09:26:42.000Z,,31.87,48.06,0,13.86,86.16,18.24,20.88,60,true
2026-04-01T09:27:42.000Z,,31.84,48.12,0,13.85,87.87,18.23,23.17,60,true
2026-04-01T09:28:42.000Z,,31.81,48.23,0,13.84,86.6,18.24,27.62,60,true
2026-04-01T09:29:42.000Z,,31.78,48.39,0,13.84,87.86,18.23,30.12,60,true
2026-04-01T09:30:42.000Z,,31.75,48.54,0,13.83,86.21,18.21,25.38,60,true
2026-04-01T09:31:42.000Z,,31.74,48.26,0,13.82,92.23,18.19,18.27,60,true
2026-04-01T09:32:42.000Z,,31.71,48.69,0,13.81,86.28,18.17,13.68,60,true
2026-04-01T09:33:42.000Z,,31.65,48.54,0,13.8,90.85,18.15,11.78,60,true
2026-04-01T09:34:42.000Z,,31.61,48.78,0,13.8,84.35,18.14,12.06,60,true
2026-04-01T09:35:42.000Z,,31.58,48.82,0,13.79,89.15,18.14,12.46,60,true
2026-04-01T09:36:42.000Z,,31.55,48.98,0,13.78,83.93,18.12,11.53,60,true
2026-04-01T09:37:42.000Z,,31.49,49.11,0,13.77,88.95,18.11,9.83,60,true
2026-04-01T09:38:42.000Z,,31.46,49.26,0,13.77,85.34,18.1,8.33,60,true
2026-04-01T09:39:42.000Z,,31.44,49.43,0,13.76,86.02,18.08,6.57,60,true
2026-04-01T09:40:42.000Z,,31.41,49.52,0,13.75,87.22,18.07,4.76,60,true
2026-04-01T09:41:42.000Z,,31.34,49.56,0,13.75,84.72,18.06,3.09,60,true
2026-04-01T09:42:42.000Z,,31.3,49.74,0,13.74,93.2,18.04,1.54,60,true
2026-04-01T09:43:42.000Z,,31.27,49.71,0,13.73,84.9,18.03,0.86,60,true
2026-04-01T09:44:42.000Z,,31.22,49.73,0,13.72,86.11,18.02,0.83,60,true
2026-04-01T09:45:42.000Z,,31.18,49.44,0,13.72,87.42,18.01,0.82,60,true
2026-04-01T09:46:42.000Z,,31.13,49.32,0,13.71,84.93,18,0.82,60,true
2026-04-01T09:47:42.000Z,,31.09,49.11,0,13.7,86.66,17.99,0.81,60,true
2026-04-01T09:48:42.000Z,,31.04,49.04,0,13.7,87.23,17.99,0.8,60,true
2026-04-01T09:49:42.000Z,,31,49.2,0,13.69,85.63,17.98,0.79,60,true
2026-04-01T09:50:42.000Z,,30.98,49.01,0,13.68,91.07,17.97,0.79,60,true
2026-04-01T09:51:42.000Z,,30.94,49.35,0,13.68,87,17.96,0.76,60,true
2026-04-01T09:52:42.000Z,,30.94,49.54,0,13.67,93.07,17.95,0.75,60,true
2026-04-01T09:53:42.000Z,,30.88,49.65,0,13.67,89.16,17.94,0.74,60,true
2026-04-01T09:54:42.000Z,,30.87,49.66,0,13.66,88.2,17.94,0.72,60,true
2026-04-01T09:55:42.000Z,,30.81,49.82,0,13.65,89.22,17.93,0.7,60,true
2026-04-01T09:56:42.000Z,,30.76,50,0,13.65,88.57,17.92,0.69,60,true
2026-04-01T09:57:42.000Z,,30.75,50.17,0,13.64,85.7,17.92,0.67,60,true
2026-04-01T09:58:42.000Z,,30.69,50.49,0,13.64,87.79,17.91,0.67,60,true
2026-04-01T09:59:42.000Z,,30.67,50.58,0,13.63,86.61,17.9,0.67,60,true
2026-04-01T10:00:42.000Z,,30.62,50.68,0,13.63,86.13,17.89,0.64,60,true
2026-04-01T10:01:42.000Z,,30.6,50.69,0,13.62,92.26,17.89,0.61,60,true
2026-04-01T10:02:42.000Z,,30.57,50.89,0,13.62,86.85,16.65,0.6,60,true
2026-04-01T10:03:42.000Z,,30.53,51.09,0,13.61,89.54,13.24,0.58,60,true
2026-04-01T10:04:42.000Z,,30.49,51.29,0,13.61,84.95,13.23,0.55,60,true
2026-04-01T10:05:42.000Z,,30.43,51.38,0,13.6,93.71,13.22,0.54,60,true
2026-04-01T10:06:42.000Z,,30.42,51.36,0,13.6,86.42,13.22,0.51,60,true
2026-04-01T10:07:42.000Z,,30.4,51.42,0,13.6,87.71,13.21,0.48,60,true
2026-04-01T10:08:42.000Z,,30.37,51.94,0,13.59,89.42,13.21,0.44,60,true
2026-04-01T10:09:42.000Z,,30.31,51.98,0,13.59,89.27,13.2,0.43,60,true
2026-04-01T10:10:42.000Z,,30.29,52.05,0,13.59,87.46,13.2,0.39,60,true
2026-04-01T10:11:42.000Z,,30.26,52.14,0,13.58,87.62,13.19,0.36,60,true
2026-04-01T10:12:42.000Z,,30.21,52.27,0,13.58,87.16,13.19,0.32,60,true
2026-04-01T10:13:42.000Z,,30.2,52.48,0,13.58,85.92,13.19,0.31,60,true
2026-04-01T10:14:42.000Z,,30.17,52.69,0,13.57,92.41,13.18,0.28,60,true
2026-04-01T10:15:42.000Z,,30.15,52.52,0,13.57,85.65,13.18,0.25,60,true
2026-04-01T10:16:42.000Z,,30.12,52.52,0,13.56,85.88,13.17,0.2,60,true
2026-04-01T10:17:42.000Z,,30.1,52.75,0,13.56,84.49,13.17,0.17,60,true
2026-04-01T10:18:42.000Z,,30.1,52.98,0,13.56,86.34,13.17,0.13,60,true
2026-04-01T10:19:42.000Z,,30.05,53,0,13.56,84.67,13.16,0.12,60,true
2026-04-01T10:20:42.000Z,,30,53.34,0,13.55,85.99,13.16,0.1,60,true
